id,observed_on,time_observed_at,time_zone,quality_grade,image_url,captive_cultivated,place_guess,scientific_name,iconic_taxon_name,season,image_path
203059958,2024-03-18,2024-03-18 17:03:52-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/358717267/medium.jpg,False,"Hale‘iwa Store Lots, Haleʻiwa, HI, US",Paroaria coronata,Aves,Spring,./images_introduced/203059958.jpg
181477034,2023-09-02,2023-09-02 13:56:24-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/316244899/medium.jpg,False,"Diamond Head State Monument, Honolulu, HI, US",Spilopelia chinensis,Aves,Fall,./images_introduced/181477034.jpg
22262471,2018-02-07,2018-02-07 14:37:33-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/34474774/medium.jpg,False,"Kuhio Hwy, Lihue, HI, US",Bubulcus ibis,Aves,Winter,./images_introduced/22262471.jpg
202337455,2024-02-21,2024-02-21 10:54:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/357333895/medium.jpeg,False,"Poipu, Koloa, HI 96756, USA",Lonchura punctulata,Aves,Winter,./images_introduced/202337455.jpg
142093711,2022-11-15,2022-11-15 10:32:40-10:00,Hawaii,research,https://static.inaturalist.org/photos/243557461/medium.jpeg,False,"East-West Rd + Jefferson Hall, Honolulu, HI 96848, USA",Estrilda astrild,Aves,Fall,./images_introduced/142093711.jpg
97427432,2021-10-05,,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/161932969/medium.jpeg,False,"Diamond Head / Kapahulu / St. Louis Heights, Honolulu, HI, USA",Psittacula krameri,Aves,Fall,./images_introduced/97427432.jpg
170385563,2023-06-30,2023-06-30 17:22:05-10:00,Hawaii,research,https://static.inaturalist.org/photos/295514635/medium.jpeg,False,"Wailea, Wailea-Makena, HI 96753, USA",Gallus gallus domesticus,Aves,Summer,./images_introduced/170385563.jpg
48409761,2020-06-03,2020-06-03 07:17:39-10:00,Hawaii,research,https://static.inaturalist.org/photos/76812100/medium.jpg,False,"Ewa Beach, HI, USA",Sicalis flaveola,Aves,Summer,./images_introduced/48409761.jpg
168749370,2023-06-11,2023-06-11 19:37:00-10:00,Hawaii,research,https://static.inaturalist.org/photos/292491851/medium.jpg,False,"Kiholo Bay, Hawaii County, HI, USA",Ortygornis pondicerianus,Aves,Summer,./images_introduced/168749370.jpg
18402819,2018-11-14,2018-11-14 16:51:33-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/28128671/medium.jpg,False,"5-4236–5-4306 Kuhio Hwy, Princeville, HI, US",Gallus gallus domesticus,Aves,Fall,./images_introduced/18402819.jpg
66385608,2019-12-09,2019-12-09 14:42:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/107005611/medium.jpeg,False,"Byodo-In Temple, Kaneohe, HI 96744, USA",Copsychus malabaricus,Aves,,./images_introduced/66385608.jpg
19540717,2019-01-09,2019-01-09 12:50:16-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/30074012/medium.jpg,False,"5050 Lāwaʻi Rd, Poipu, HI, US",Passer domesticus,Aves,Winter,./images_introduced/19540717.jpg
4899634,2017-01-04,2017-01-04 13:30:18-10:00,Hawaii,research,https://static.inaturalist.org/photos/5960892/medium.jpg,False,"2121 Iliili Rd, Kihei, HI, US",Bubulcus ibis,Aves,Winter,./images_introduced/4899634.jpg
1488410,2015-05-13,2015-05-13 12:12:53-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/1844594/medium.JPG,False,"Kona International Airport at Kealhole, Kalaoa, HI, US",Acridotheres tristis,Aves,Spring,./images_introduced/1488410.jpg
19157758,2013-08-13,2013-08-13 09:16:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/29416476/medium.jpg,False,"Kapaa, HI 96746, USA",Bubulcus ibis,Aves,Summer,./images_introduced/19157758.jpg
4511555,2016-11-02,2016-11-02 17:31:04-10:00,Hawaii,research,https://static.inaturalist.org/photos/5458613/medium.jpg,False,"5132A Hoona Rd, Poipu, HI, US",Bubulcus ibis,Aves,Fall,./images_introduced/4511555.jpg
158422113,2021-08-07,2021-08-07 14:13:39-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/273796079/medium.jpeg,False,Honolulu,Lonchura atricapilla,Aves,Summer,./images_introduced/158422113.jpg
108491635,2022-03-12,2022-03-12 16:16:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/182674066/medium.jpg,False,"Hawaii Kai, Honolulu, HI, USA",Copsychus malabaricus,Aves,Spring,./images_introduced/108491635.jpg
37673445,2020-01-15,2020-01-15 09:53:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/59773049/medium.jpg,False,"Kahaluu-Keauhou, HI 96740, USA",Zosterops japonicus,Aves,Winter,./images_introduced/37673445.jpg
9900308,2016-08-21,2016-08-21 12:51:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/13575414/medium.jpg,False,"Honolulu, HI, USA",Geopelia striata,Aves,Summer,./images_introduced/9900308.jpg
50950611,2013-05-02,2013-05-02 07:55:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/80928432/medium.jpg,False,"Hawaii, US",Padda oryzivora,Aves,Spring,./images_introduced/50950611.jpg
10253964,2017-12-08,2017-12-08 14:12:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/14185691/medium.jpeg,False,"Kapalua, Maui, Hawai'i, USA",Geopelia striata,Aves,,./images_introduced/10253964.jpg
165004172,2023-05-31,2023-05-31 20:16:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/285564223/medium.jpeg,False,"Manoa, Honolulu, HI, USA",Leiothrix lutea,Aves,Spring,./images_introduced/165004172.jpg
113178706,2022-04-27,2022-04-27 15:49:28-10:00,Hawaii,research,https://static.inaturalist.org/photos/191231855/medium.jpeg,False,"Hawaii Volcanoes National Park, Hawaii County, US-HI, US",Lophura leucomelanos,Aves,Spring,./images_introduced/113178706.jpg
102648212,2021-11-26,2021-11-26 10:39:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/171637184/medium.jpeg,False,"Honolulu County, HI, USA",Paroaria coronata,Aves,Fall,./images_introduced/102648212.jpg
36605934,2019-12-12,2019-12-12 16:18:03-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/57886103/medium.jpg,False,"Hawaiʻi, Hilo, HI, US",Sicalis flaveola,Aves,,./images_introduced/36605934.jpg
