id,observed_on,time_observed_at,time_zone,quality_grade,image_url,captive_cultivated,place_guess,scientific_name,iconic_taxon_name,season,image_path
138446973,2022-10-11,2022-10-11 12:34:03-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/236634614/medium.jpg,False,"James Campbell National Wild Refuge, Kahuku, HI, US",Fulica alai,Aves,Fall,./images_native/138446973.jpg
6676506,2017-06-15,,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/8461955/medium.jpg,False,Hosmer grove,Drepanis coccinea,Aves,Summer,./images_native/6676506.jpg
39908531,2020-03-10,2020-03-10 08:43:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/63364264/medium.jpeg,False,"Maalaea, HI, USA",Fulica alai,Aves,Spring,./images_native/39908531.jpg
12181274,2018-05-05,2018-05-05 09:48:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/17490994/medium.jpeg,False,Ka'elepulu,Fulica alai,Aves,Spring,./images_native/12181274.jpg
165464892,2023-06-03,2023-06-03 21:36:12-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/286429407/medium.jpeg,False,"Auahi St + Kamakee St, Honolulu, HI 96814, USA",Gygis alba,Aves,Summer,./images_native/165464892.jpg
119302872,2022-04-29,2022-04-29 16:36:00-10:00,Hawaii,research,https://static.inaturalist.org/photos/201658098/medium.jpeg,False,"Honolulu County, US-HI, US",Phoebastria immutabilis,Aves,Spring,./images_native/119302872.jpg
155103036,2023-04-15,2023-04-15 18:59:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/268064896/medium.jpg,False,"Waiakuhi, Kailua Kona, HI, US",Nycticorax nycticorax,Aves,Spring,./images_native/155103036.jpg
8042877,2017-09-22,2017-09-21 23:55:09-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/10652390/medium.jpeg,False,"Kealia Coastal Boardwalk Kihei, HI 96753 USA",Fulica alai,Aves,Fall,./images_native/8042877.jpg
85734302,2021-07-04,2021-07-04 09:49:13-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/141114952/medium.jpeg,False,"Honolulu County, US-HI, US",Phoebastria immutabilis,Aves,Summer,./images_native/85734302.jpg
60598239,2011-04-28,2011-04-28 13:13:00-10:00,Hawaii,research,https://inaturalist-open-data.s3.amazonaws.com/photos/96911787/medium.jpeg,False,"Kalihiwai, HI, USA",Ardenna pacifica,Aves,Spring,./images_native/60598239.jpg
192407444,2023-11-07,2023-11-07 08:03:17-10:00,Hawaii,research,https://static.inaturalist.org/photos/337757066/medium.jpg,False,"Hawaii, US",Gygis alba,Aves,Fall,./images_native/192407444.jpg
44192921,2015-08-14,2015-08-14 16:27:00-10:00,Hawaii,research,https://static.inaturalist.org/photos/70064938/medium.jpeg,False,"Maui County, US-HI, US",Himantopus mexicanus knudseni,Aves,Summer,./images_native/44192921.jpg
